id,name
0PFtn5NtBbbUNbU9EAmIWF,TOTO
3TVXtAsR1Inumwj472S9r4,Drake
3SRJWVa6lZnqRHOyAHmDrX,Jon B.
3mSAqBoXQgdlpwzWsIgBzL,Merle Haggard & The Strangers
2eogQKWWoohI3BSnoG7E2U,Donna Summer
4GxVmha4ELBwUE4bPyChzS,Glenn Yarbrough
3oZa8Xs6IjlIUGLAhVyK4G,Irene Cara
4TROLx8HvrnfGGNo2ngL2N,Shawn Mullins
1cHFz6lrt7KAsBV8j2Ny1g,The Blues Brothers
6KcJMeHZr0A6XHwAwlmfef,Rome
2LgRWQn0lwQqsqidN5V9lW,Ocean
38vfzvLcy3BVAPGUo5F3SF,The Gestures
07XSN3sPlIlB2L2XNcTwJw,KISS
2AfbdEnBTWGcpZKHa5MPJK,The Girlfriends
2ttm3uT0N1RN7vwKv1pQgh,Brook Benton
0EodhzA6yW1bIdD5B4tcmJ,Bobby Darin
3koiLjNrgRTNbOwViDipeA,Marvin Gaye
0PGtMx1bsqoCHCy3MB3gXA,Unk
6qLZdPW7iYL5oF8tc0g3p0,Terry Knight And The Pack
1aX2dmV8XoHYCOQRxjPESG,The Human League
6XyY86QOPPrYVGvF9ch6wz,Linkin Park
6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene
218kRJZ7FJs0hWIk8Ynzhz,Charlie Rich
7bXgB6jMjp9ATFy66eO08Z,Chris Brown
3ipn9JLAPI5GUEo4y4jcoi,Ludacris
5zNOI87gG4RttFmYAZWaxQ,Frankie Avalon
0NqxUSg57tX1o1WG7VU1Vp,Stonewall Jackson
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra
0ECwFtbIWEVNwjlrfc6xoL,Eagles
2JfVCMa3FlvQRlLT5uH9zb,Nancy Wilson
53jXEVVJtpaWVQ3ffvhDtl,Betty Everett
57bUPid8xztkieZfS7OlEV,The Supremes
0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts
1Csjn2SQV7R9szDhhR7Aji,The Ides Of March
2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys
40B4rvXn71qa0Vi2ZtBjS1,Balance
2IvkS5MXK0vPGnwyJsrEyV,Eric Church
3KzYAUHiKXCKpisQgRD2Ja,Ronnie Dove
5Y9xEAGW4GwGJgbiI6W85P,Ritchie Valens
48kXmrNGCBMAz7N8x1J2na,Eurogliders
0Lpr5wXzWLtDWm1SjNbpPb,Todd Rundgren
3WilJWdCNLSU7fpYjiKb7v,Cassidy
2mxe0TnaNL039ysAj51xPQ,R. Kelly
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC
0rvjqX7ttXeg3mTy8Xscbt,Journey
59hLmB5DrdihCYtNeFeW1U,Glen Campbell
1BMb6sQJVkmUyCuodmRs2g,Oleta Adams
2qbLM1AGCjpzC3PcOFMFU5,Hagood Hardy
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan
2DnqqkzzDKm3vAoyHtn8So,Uncle Kracker
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson
0g3EsNvUCwgpsdkAiIC50W,Bettye Swann
7knQlwjtPZ9VP98f5XXhhn,Brenda And The Tabulations
3KpLtTMpLAko7nBDmiYg7Z,Force M.D.'s
3CkvROUTQ6nRi9yQOcsB50,Genesis
