id,name,genre
0PFtn5NtBbbUNbU9EAmIWF,TOTO,rock
3TVXtAsR1Inumwj472S9r4,Drake,hip
3SRJWVa6lZnqRHOyAHmDrX,Jon B.,other
3mSAqBoXQgdlpwzWsIgBzL,Merle Haggard & The Strangers,other
2eogQKWWoohI3BSnoG7E2U,Donna Summer,pop
4GxVmha4ELBwUE4bPyChzS,Glenn Yarbrough,other
3oZa8Xs6IjlIUGLAhVyK4G,Irene Cara,pop
4TROLx8HvrnfGGNo2ngL2N,Shawn Mullins,pop
1cHFz6lrt7KAsBV8j2Ny1g,The Blues Brothers,rock
6KcJMeHZr0A6XHwAwlmfef,Rome,other
2LgRWQn0lwQqsqidN5V9lW,Ocean,other
38vfzvLcy3BVAPGUo5F3SF,The Gestures,classic
07XSN3sPlIlB2L2XNcTwJw,KISS,rock
2AfbdEnBTWGcpZKHa5MPJK,The Girlfriends,other
2ttm3uT0N1RN7vwKv1pQgh,Brook Benton,soul
0EodhzA6yW1bIdD5B4tcmJ,Bobby Darin,other
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,classic
0PGtMx1bsqoCHCy3MB3gXA,Unk,hip
6qLZdPW7iYL5oF8tc0g3p0,Terry Knight And The Pack,other
1aX2dmV8XoHYCOQRxjPESG,The Human League,pop
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,rap
6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,pop
218kRJZ7FJs0hWIk8Ynzhz,Charlie Rich,country
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,rap
3ipn9JLAPI5GUEo4y4jcoi,Ludacris,hip
5zNOI87gG4RttFmYAZWaxQ,Frankie Avalon,pop
0NqxUSg57tX1o1WG7VU1Vp,Stonewall Jackson,classic
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,other
0ECwFtbIWEVNwjlrfc6xoL,Eagles,rock
2JfVCMa3FlvQRlLT5uH9zb,Nancy Wilson,other
53jXEVVJtpaWVQ3ffvhDtl,Betty Everett,soul
57bUPid8xztkieZfS7OlEV,The Supremes,classic
0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts,country
1Csjn2SQV7R9szDhhR7Aji,The Ides Of March,other
2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys,rock
40B4rvXn71qa0Vi2ZtBjS1,Balance,rock
2IvkS5MXK0vPGnwyJsrEyV,Eric Church,country
3KzYAUHiKXCKpisQgRD2Ja,Ronnie Dove,other
5Y9xEAGW4GwGJgbiI6W85P,Ritchie Valens,other
48kXmrNGCBMAz7N8x1J2na,Eurogliders,rock
0Lpr5wXzWLtDWm1SjNbpPb,Todd Rundgren,rock
3WilJWdCNLSU7fpYjiKb7v,Cassidy,rap
2mxe0TnaNL039ysAj51xPQ,R. Kelly,other
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,pop
0rvjqX7ttXeg3mTy8Xscbt,Journey,rock
59hLmB5DrdihCYtNeFeW1U,Glen Campbell,country
1BMb6sQJVkmUyCuodmRs2g,Oleta Adams,other
2qbLM1AGCjpzC3PcOFMFU5,Hagood Hardy,other
