"year","acousticness","danceability","energy","instrumentalness","liveness","loudness","mode","speechiness","valence","popularity","genre","duration_min","duration_sec"
1980,1.72,63.4,50.6,0.000315,7.52,-15.088,"major",2.72,77.5,14,"other",3,29
1981,1.72,63.4,50.6,0.000315,7.52,-15.088,"major",2.72,77.5,14,"other",3,29
1969,25.6,40.4,59.1,3.46,17.7,-12.277,"major",7.24,65.4,63,"pop",3,29
1971,5.21,66.9,58.3,0.00152,17.7,-9.165,"minor",6.89,64.7,50,"pop",2,45
1968,32.2,59.2,83.4,0,36.4,-11.565,"major",3.34,80.9,57,"pop",2,54
2005,0.509,57.1,89,0,7.69,-1.6,"major",3.95,75.1,61,"pop",3,54
1989,5.52,56.3,53.7,0,17.8,-11.389,"major",3.14,63.7,37,"rock",4,34
1999,10.2,47.2,71.4,0.000291,4.85,-7.546,"minor",2.48,70,32,"rock",4,40
1960,7.35,53.3,75.9,0,31.5,-5.199,"major",3.56,88.9,30,"other",2,35
1960,64,53.2,81.6,0.377,12,-11.478,"minor",4.87,80.2,2,"other",2,38
1960,27.6,58.1,72.4,0.000458,30.7,-3.931,"major",3.39,83.7,2,"other",2,38
2013,18.6,51.7,81.1,0,10.5,-4.526,"minor",28.6,49.4,67,"rap",4,10
1979,13.7,39.3,49.5,0.0269,13.4,-14.033,"minor",4.28,62.4,55,"rock",4,45
1977,16.6,59.8,57.3,0,31,-10.587,"major",2.85,64.5,42,"rock",2,57
1986,39.5,59.6,48.3,0.0218,36.5,-12.406,"minor",4.74,69.2,48,"other",5,35
1985,11.8,81.5,64.6,0.0048,7.33,-9.784,"major",5.46,75.7,54,"other",5,21
1960,70.4,58.3,30.9,72.2,11.1,-20.597,"major",3.08,60.9,0,"other",2,32
2007,73.1,49.3,37,0,11.3,-6.537,"major",2.99,23,40,"country",3,58
1995,0.00486,38,64.3,0.00267,24.4,-8.304,"major",2.87,29.7,42,"rock",4,24
1993,1.32,61.3,72,0,10.4,-7.957,"major",4.25,56.1,72,"rock",4,26
2000,64.3,58.6,42.3,0,12.9,-9.951,"major",2.67,26.8,39,"classic",4,29
2010,8.95,58,72.6,0,7.86,-4.343,"major",2.91,50.7,58,"classic",3,40
1999,7.36,58,77.4,0,22.4,-5.4,"major",2.8,58.8,25,"classic",3,54
2010,2.6,60.3,85.9,0,22.5,-3.772,"major",4.15,70.2,49,"classic",3,35
1989,14.5,66.2,84.4,0.011,13.7,-6.034,"major",2.7,59.2,64,"pop",4,31
1988,14.5,66.2,84.4,0.011,13.7,-6.034,"major",2.7,59.2,64,"pop",4,31
1985,2.8,64.6,87.3,0.0119,32.6,-5.07,"major",3.94,62.9,19,"pop",4,17
1985,49.4,55.5,45.7,12.6,11.6,-11.294,"major",2.71,34.5,45,"classic",3,57
1970,26,90.8,42.1,0.065,8.05,-9.382,"major",6.48,86.1,55,"soul",3,3
1972,33.2,80.7,38.9,0.00566,5.43,-9.843,"major",8.82,95.2,23,"soul",2,25
2008,1.49,73.7,61.5,0,10.2,-3.76,"major",3.17,41,64,"pop",3,51
2003,5.06,66.2,90.8,0,5.08,-4.764,"minor",4.49,96.7,67,"pop",2,54
2012,5.16,60.8,90.9,0,11.1,-3.638,"minor",3.49,61.7,40,"pop",3,35
2005,22.8,65.1,66.3,0,9.94,-5.569,"minor",2.81,46.5,83,"pop",4,19
2007,3.02,63.2,94.9,0,8.71,-2.671,"minor",5.93,96.9,55,"pop",3,21
2008,0.252,58.9,92.3,0.0214,93.3,-3.431,"major",8.61,64.1,19,"pop",3,21
2013,14.5,67.5,79.2,0,12,-6.303,"major",3.68,39.5,60,"pop",3,50
2010,0.0315,70.4,81,0,21.6,-4.874,"minor",4.25,72.6,66,"pop",3,36
1976,8.48,72.8,71.8,0,5.79,-5.281,"minor",5.01,73.3,64,"rock",3,39
1971,56.7,47.7,46.4,0,48.7,-10.818,"minor",2.72,68.9,58,"classic",3,5
1976,44.8,51.8,78.6,0.0025,70,-5.739,"major",3.57,46.3,61,"rock",4,41
1976,3.89,31.9,66.1,0.39,88.6,-8.548,"major",3.34,32.5,52,"rock",13,47
1976,43.4,70,72.6,0.00011,9.63,-7.717,"major",3.29,64.1,69,"rock",4,3
1977,14.7,33,49.4,0.000494,13.7,-7.16,"major",2.78,14.3,48,"rock",4,10
1978,18.5,65.2,77.2,0.00336,9.45,-6.058,"major",3.12,50.1,13,"rock",4,28
2002,35.8,69.2,65.6,0.29,9.29,-4.81,"minor",15.1,62.9,52,"pop",4,9
1995,48.8,32.9,51.7,0,9.85,-7.178,"major",3.53,40.8,42,"pop",4,46
1995,2.36,80.7,65.1,0.000665,17.4,-6.714,"minor",4.77,82.9,52,"pop",5,13
