id,name,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,valence,popularity
4wcrWfOjVNYoznqCKfu9d1,Stranger In Town,1984,0.0957,0.599,287067,0.667,0.474,0.101,-16.013,Mode.MINOR,0.0329,0.762,51
343YBumqHu19cGoGARUTsd,Fake Love,2016,0.105,0.928,210937,0.481,0.0,0.176,-9.35,Mode.MINOR,0.287,0.613,75
5xHvk8O2Ff4rhWP8LVe8SO,Don't Say,1997,0.117,0.79,288573,0.561,0.0,0.268,-5.496,Mode.MAJOR,0.0913,0.572,30
7nflxXrX5r4UsduYq3HDw3,Okie From Muskogee,1969,0.321,0.595,164160,0.417,7.57e-05,0.323,-12.831,Mode.MAJOR,0.0309,0.765,25
6ez4yXpLini3DSbaLR10qZ,This Time I Know It's for Real,1989,0.0154,0.614,218933,0.878,0.00637,0.0486,-10.016,Mode.MINOR,0.034,0.865,57
6bZKOc50K0nlfNAPleAlkA,"Baby the Rain Must Fall - From the Columbia Film ""Baby the Rain Must Fall""",1965,0.873,0.56,139040,0.529,0.0,0.361,-10.105,Mode.MAJOR,0.0303,0.498,31
7KhhMI6XIc9hwLBSfuZ7By,Out Here On My Own,1980,0.98,0.411,193360,0.129,2.52e-05,0.085,-15.07,Mode.MAJOR,0.0358,0.222,49
70L4pGAmYv0pTADrgsIxpI,Lullaby,1998,0.0211,0.626,329867,0.731,0.00231,0.249,-8.0,Mode.MAJOR,0.0455,0.545,52
5z2F9FkKdhd9HOSTI1GxRq,Soul Man - Live,1978,0.0157,0.629,180973,0.857,0.00396,0.755,-7.059,Mode.MAJOR,0.0705,0.528,53
1nP6feYWJVpbO41aezFtm2,I Belong To You (Every Time I See Your Face),1997,0.026,0.759,273267,0.337,0.0,0.0753,-11.034,Mode.MINOR,0.0351,0.329,52
6ZAiZHr8DKHN7Iwvc3yr17,Deep Enough for Me,1971,0.17,0.751,189760,0.856,4.63e-06,0.262,-9.691,Mode.MINOR,0.0463,0.96,5
1VzcPrHJ7HTxADgjK6tpKC,"Run, Run, Run",1965,0.117,0.24,139440,0.868,0.0,0.106,-6.739,Mode.MINOR,0.0669,0.682,22
47o525G86mLspoGnUCaMd9,Hide Your Heart,1990,0.306,0.572,264133,0.846,1.31e-05,0.169,-10.081,Mode.MINOR,0.0617,0.596,45
724k0eWcby90V6kIVbozGq,"My One and Only, Jimmy Boy - Remastered Single Version",1964,0.615,0.223,136880,0.805,0.0,0.0769,-5.557,Mode.MAJOR,0.0446,0.823,8
0ARw9dTi7Ed2Xfa6s6LK1U,So Many Ways,1959,0.52,0.33,153496,0.332,2.25e-05,0.0947,-15.987,Mode.MAJOR,0.0495,0.569,18
3V4IuFiE3GnWuRnuV8dkFO,You Must Have Been a Beautiful Baby,1961,0.753,0.714,131720,0.544,7.64e-05,0.0551,-15.721,Mode.MAJOR,0.036,0.973,27
5hReWjUHqPqkHi31G7izL4,Inner City Blues (Make Me Wanna Holler),1971,0.792,0.63,327707,0.455,0.132,0.133,-13.667,Mode.MAJOR,0.0322,0.645,62
3rALMatm3fRoubDlouWRpi,2 Step,2007,0.0583,0.763,195787,0.797,0.0,0.299,-2.274,Mode.MINOR,0.0895,0.648,48
749S6pIVPtnCCq6mzufmUd,I (Who Have Nothing),1967,0.532,0.247,202000,0.48,0.00293,0.142,-7.897,Mode.MINOR,0.0337,0.403,10
